15,1094,22,23,16,13,3,4,2,2,1,0,2,0,0,0,0,0,0,1
5,65,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,17,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,12,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,16,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
