7,1234,146,44,16,10,3,3,1,0,0,0,0,0,0,0,0,0,0,1
3,37,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1,7,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,2
1,2,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,1
2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4
19,18,0,5,6,2,7,3,9,9,7,3,10,8,6,13,18,9,1,20
